Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
2577,Mariage,2474,5422,238,1649-01-07,192/211
2578,Mariage,2474,5429,54,1744-11-04,111/334
2579,Mariage,2474,5775,329,1735-06-26,15/180
2580,Mariage,2474,5821,344,1699-03-02,3/149
2581,Mariage,2474,6145,102,1738-07-01,1/013
2582,Mariage,2474,6380,148,1816-04-24,27/381
2583,Mariage,2474,6487,148,,9/021
2584,Mariage,2464,6497,132,1838-08-28,n/a
2585,Mariage,2474,6694,68,1695-01-31,154/216
2586,Mariage,2474,6974,148,1770-07-10,21/184
2587,Mariage,2471,7051,108,1864-04-12,83/130
2588,Mariage,2465,7105,132,1873-05-11,n/a
2589,Mariage,2469,7202,182,1808-10-20,152/317
2590,Publication de mariage,2469,7202,182,1808-06-05,164/317
2591,Mariage,2474,7254,162,1703-01-31,1/085
2592,Mariage,2474,7304,94,1728-04-26,n/a
2593,Mariage,2460,7530,108,1663-09-17,14/022
2594,Mariage,2466,7560,267,1727-05-13,n/a
2595,Mariage,2468,7693,162,1696-03-05,13/283
2596,Publication de mariage,2461,7784,269,1809-11-26,103/413
2597,Mariage,2474,8030,137,1718-02-08,50/094
2598,Mariage,2474,8280,144,1685-01-30,53/073
2599,Contrat de mariage,2462,8279,144,1685-01-14,n/a
2600,Mariage,2451,6393,123,,n/a
2601,Mariage,2452,6235,272,1806-11-26,328/338
2602,Mariage,2452,7206,238,1813-01-13,14/535
2603,Mariage,2453,5308,132,1891-07-05,n/a
2604,Mariage,2454,6005,52,1904-05-17,14/032
2605,Mariage,2455,7717,94,1789-02-17,n/a
2606,Mariage,2456,5213,108,1902-04-11,18/021
2607,Mariage,2479,4102,25,1701-01-21,9/115
2608,Mariage,2483,4146,96,1768-02-01,n/a
2609,Contrat de mariage,2483,4169,7,1634-02-01,70 et 71/532
2610,Mariage,2483,4422,25,1702-05-02,20/115
2611,Mariage,2478,4647,108,,21/251
2612,Mariage,2483,4968,51,1646-09-24,11/026
2613,Mariage,2476,5427,96,1733-07-14,n/a
2614,Mariage,2480,5491,108,1683-03-01,104/113
2615,Mariage,2482,5930,108,1672-02-29,27/114
2616,Mariage,2477,6072,182,1758-01-31,34/095
2617,Mariage,2477,6072,182,1758-01-31,40/095
2618,Mariage,2481,6218,307,1731-09-05,305/354
2619,Mariage,2475,5717,357,1787-11-26,293/310
2620,Mariage,2484,6736,17,1904-10-24,56/061
2621,Mariage,2485,5820,108,1680-10-15,67/113
2622,Mariage,2486,7000,238,1662-11-27,107/166
2623,Mariage,2486,7198,108,1637-02-17,31/069
2624,Mariage,2486,7565,238,1631-04-05,5/211
2625,Mariage,2487,4043,320,1725-05-28,14/027
2626,Mariage,2488,6459,162,1716-10-27,87/197
2627,Mariage,2489,5069,238,1659-07-03,86/166
2628,Mariage,2490,4190,238,1682-11-21,57/145
2629,Contrat de mariage,2491,4081,123,1612-08-15,409 et 410/491
2630,Mariage,2492,7220,136,1743-09-03,15/097
2631,Mariage,2493,4625,238,1670-05-07,142/166
2632,Mariage,2494,5616,353,1839-11-23,38/185
2633,Mariage,2495,3559,330,1901-09-30,15
2634,Mariage,2496,7224,330,1885-05-09,16/092
2635,Mariage,2498,4720,114,1844-02-13,437/480
2636,Mariage,2497,6311,264,1876-05-02,155/198
2637,Mariage,2500,4376,332,1716-02-11,162/194
2638,Mariage,2499,4622,6,1763-04-12,154/338
2639,Mariage,2501,6042,272,1882-04-26,180/186
2640,Mariage,2503,5912,199,1680-02-20,120/176
2641,Mariage,2504,6489,16,1731-08-27,24/062
2642,Mariage,2502,6337,129,1785-11-22,38/145
2643,Mariage,2506,6957,89,1749-05-20,441/483
2644,Mariage,2507,5146,220,1727-10-08,n/a
2645,Mariage,2512,4348,152,,25/042
2646,Mariage,2512,4796,81,1767-02-24,70/117
2647,Contrat de mariage,2511,5141,123,1635-03-08,72 et 73/270
2648,Mariage,2512,5866,38,1702-10-11,11/019
2649,Mariage,2512,6234,14,1732-06-18,39/121
2650,Mariage,2508,6355,196,1711-05-28,n/a
2651,Mariage,2509,6976,14,1761-10-28,32/112
2652,Mariage,2512,7115,332,1679-05-30,108/217
2653,Mariage,2512,7419,15,1679-06-04,116/222
2654,Mariage,2510,8054,263,1776-02-13,12/020
2655,Mariage,2515,4240,332,1738-02-11,167/179
2656,Mariage,2516,5216,328,1766-02-04,268/362
2657,Mariage,2522,5302,253,1822-01-09,52/144
2658,Mariage,2522,5683,332,1663-01-30,3/004
2659,Mariage,2517,5979,97,1751-11-23,n/a
2660,Contrat de mariage,2522,5979,97,1751-10-17,41 et 42/345
2661,Mariage,2522,6718,220,,70/087
2662,Mariage,2519,6891,123,1642-11-17,95/113
2663,Contrat de mariage,2518,6892,123,1642-09-24,97 à 100/204
2664,Mariage,2521,7355,332,,41/053
2665,Mariage,2520,7697,366,,3/042
2666,Mariage,2513,4630,272,1852-10-21,203/368
2667,Mariage,2514,6842,197,1830-10-13,92/138
2668,Mariage,2523,5768,58,1779-06-07,35/058
2669,Contrat de mariage,2524,7421,123,1585-03-29,257 et 258/543
2670,Mariage,2525,7712,275,1711-06-16,4/164
2671,Mariage,2527,2505,220,,68/087
2672,Mariage,2530,3964,300,1755-06-10,n/a
2673,Mariage,2529,3963,89,1755-06-08,68/138
2674,Contrat de mariage,2530,3964,80,1755-05-04,291 et 292/408
2675,Mariage,2530,4060,248,1775-09-05,5/009
2676,Mariage,2530,5162,337,1756-07-26,32/152
2677,Mariage,2530,6429,220,1746-02-09,n/a
2678,Mariage,2528,7084,138,1888-06-05,36/111
2679,Mariage,2532,4710,67,1683-07-28,105/132
2680,Mariage,2531,5153,97,1759-02-06,n/a
2681,Contrat de mariage,2538,5494,80,1753-11-01,97 et 98/311
2682,Mariage,2537,5493,7,1753-11-27,247/339
2683,Mariage,2538,6102,197,1720-07-23,8/056
2684,Mariage,2536,6410,97,1757-02-21,292/362
2685,Mariage,2538,7701,366,1803-10-18,18/040
2686,Mariage,2526,7177,89,1742-05-21,319/483
2687,Mariage,2533,7838,305,1858-10-12,22/110
2688,Mariage,2534,7935,364,1855-10-09,12/332
2689,Contrat de mariage,2535,5752,80,1750-07-01,189 à 193/395
2690,Mariage,2539,4465,80,1717-09-29,253/393
2691,Mariage,2540,4269,238,1756-11-17,115/140
2692,Mariage,2541,6223,214,,n/a
2693,Mariage,2542,4066,313,1642-01-28,17/032
2694,Mariage,2542,4609,285,1734-07-12,118/138
2695,Contrat de mariage,2544,4464,123,1678-12-18,322 et 323/337
2696,Contrat de mariage,2543,4941,123,1659-08-17,335 et 336/520
2697,Contrat de mariage,2544,5907,123,1674-11-04,242 et 243/258
2698,Contrat de mariage,2545,4079,123,1691-11-25,336 et 337/375
2699,Mariage,2546,4150,214,,n/a
2700,Mariage,2547,8027,144,1627-11-09,2/003
2701,Mariage,2549,5074,214,,n/a
2702,Contrat de mariage,2550,7994,123,1653-02-06,70 et 71/411
2703,Mariage,2548,6521,311,1838-06-27,224/394
2704,Mariage,2554,4671,183,,n/a
2705,Contrat de mariage,2556,4737,144,1677-01-13,n/a
2706,Mariage,2556,5046,55,1636-11-26,10/043
2707,Contrat de mariage,2556,5124,58,1776-01-10,91 et 92/248
2708,Contrat de mariage,2552,5150,123,1655-06-03,364 et 365/443
2709,Mariage,2553,5176,214,,n/a
2710,Mariage,2556,6588,144,1650-11-08,1/029
2711,Mariage,2555,7479,281,,146/366
2712,Contrat de mariage,2551,7892,155,1745-10-01,7 et 8/088
2713,Mariage,2557,7719,273,1820-08-28,320/330
2714,Mariage,2558,8046,123,,n/a
2715,Mariage,2559,5562,260,1850-10-02,176/374
2716,Mariage,2560,5622,319,1808-01-27,256/296
2717,Mariage,2561,5873,339,,n/a
2718,Mariage,2562,6684,30,1882-06-05,168/178
2719,Mariage,2564,4666,156,1864-10-26,116/208
2720,Mariage,2563,5623,319,1808-01-27,31/040
2721,Mariage,2566,6048,262,1878-10-22,51/097
2722,Mariage,2567,4296,262,1851-09-23,203/390
2723,Mariage,2568,4749,262,1894-11-27,19/112
2724,Mariage,2569,8271,262,1861-05-28,70/098
2725,Mariage,2571,5070,262,1759-06-25,340/374
2726,Mariage,2570,5360,244,1853-09-11,304/365
2727,Mariage,2572,7840,37,1851-09-28,184/342
2728,Mariage,2573,7168,162,1696-02-17,10/283
2729,Mariage,1283,4130,24,1716-08-04,72/160
2730,Mariage,1277,4598,39,,41/253
2731,Mariage,1279,4733,39,1776-01-23,93/139
2732,Mariage,1278,5281,205,1731-02-04,3/207
2733,Mariage,1276,5310,132,1851-08-17,n/a
2734,Publication de mariage,1275,5309,108,1851-08-03,208/405
2735,Mariage,1273,5956,39,1862-09-02,42/159
2736,Mariage,1282,6089,58,1780-11-08,30/090
2737,Mariage,1281,6100,95,1782-02-06,n/a
2738,Mariage,1283,7616,24,1690-04-17,63/117
2739,Mariage,1274,7694,162,,124/238
2740,Mariage,1264,5837,147,1902-10-28,n/a
2741,Mariage,1265,6308,191,1836-11-24,3/173
2742,Mariage,1267,3859,132,1813-08-30,n/a
2743,Mariage,1266,6510,132,1881-06-15,n/a
2744,Mariage,1267,7725,132,1834-05-19,n/a
2745,Mariage,1268,7155,147,1861-09-16,12/031
2746,Mariage,1269,7505,147,1882-04-19,31/039
2747,Mariage,1270,5992,230,1896-07-13,80/102
2748,Contrat de mariage,1271,7695,162,,7 et 8/505
2749,Mariage,1272,5983,132,1891-06-08,n/a
2750,Mariage,1284,6673,292,1871-11-28,162/172
2751,Mariage,1286,3865,303,1861-10-28,197/374
2752,Mariage,1285,7810,182,1886-07-16,24/158
2753,Mariage,1288,5276,39,1862-02-11,41/159
2754,Mariage,1289,5265,179,1876-05-01,56/109
2755,Mariage,1291,5884,189,1895-09-16,n/a
2756,Mariage,1290,4759,346,1903-09-21,106/119
2757,Mariage,1292,7135,179,1881-01-24,96/109
2758,Mariage,1297,3976,7,1889-11-17,n/a
2759,Mariage,1297,4898,7,1862-10-01,n/a
2760,Mariage,1295,5708,352,1874-04-20,6/89
2761,Mariage,1296,7897,132,1880-07-14,n/a
2762,Publication de mariage,1294,4897,351,1862-09-21,13/245
2763,Publication de mariage,1293,4896,313,1862-09-21,17/298
2764,Mariage,1301,3719,205,1739-05-25,159/207
2765,Mariage,1302,6007,87,1764-05-29,150/160
2766,Mariage,1303,6108,340,1695-10-25,69/082
2767,Mariage,1300,6185,205,1726-06-07,245/326
2768,Mariage,1299,6954,205,1691-02-20,180/387
2769,Mariage,1298,8117,162,1842-10-11,311/620
2770,Mariage,1304,5004,313,1894-01-09,116/146
2771,Mariage,1307,3955,132,1900-05-29,n/a
2772,Mariage,1308,6103,7,1901-11-18,n/a
2773,Mariage,1308,7018,2,1847-11-16,41/165
2774,Mariage,1306,7802,313,1857-06-30,110/310
2775,Publication de mariage,1306,7802,313,1857-06-14,105/310
2776,Mariage,1305,6133,182,1899-01-17,151/158
2777,Mariage,1310,1242,108,1899-05-01,140/146
2778,Mariage,1309,7320,108,1882-04-25,142/154
2779,Mariage,1309,7322,108,1873-05-26,43/154
2780,Mariage,1311,7415,313,1880-11-03,121/145
2781,Mariage,1312,4292,235,1899-11-21,24/043
2782,Mariage,1356,3511,7,1676-02-05,6/339
2783,Mariage,1336,3723,7,1741-06-27,86/339
2784,Mariage,1356,3747,194,1636-01-15,22/080
2785,Mariage,1324,3817,132,1892-01-10,n/a
2786,Publication de mariage,1331,3871,194,1815-01-15,n/a
2787,Mariage,1332,3872,344,1815-01-21,47/452
2788,Publication de mariage,1331,3871,298,1815-01-15,261/263
2789,Publication de mariage,1320,3960,182,1849-04-15,85/303
2790,Mariage,1320,3961,243,1849-04-27,87/241
2791,Mariage,1350,3979,162,1772-01-28,167/209
2792,Mariage,1356,4006,275,1777-06-17,73/132
2793,Mariage,1347,4217,172,1715-11-29,n/a
2794,Mariage,1341,4276,162,,54/109
2795,Mariage,1353,4402,195,1700-07-12,7/137
2796,Mariage,1356,4517,230,1754-06-11,76/231
2797,Mariage,1356,4528,183,1701-02-01,n/a
2798,Mariage,1351,4569,262,1756-06-08,277/374
2799,Contrat de mariage,1356,4570,262,1756-05-11,64 et 65/350
2800,Mariage,1333,4635,344,1811-02-25,255/471
2801,Mariage,1355,4648,302,1760-07-02,283/300
2802,Mariage,1318,4681,230,1740-02-16,211/255
2803,Mariage,1356,4869,15,1727-11-13,59/201
2804,Mariage,1356,5032,356,,n/a
2805,Mariage,1334,5193,179,1738-06-27,45/118
2806,Mariage,1330,5210,53,1902-07-15,n/a
2807,Mariage,1337,5211,53,1761-01-28,7
2808,Mariage,1356,5373,218,1734-06-17,110/126
2809,Mariage,1326,5378,132,1858-10-24,n/a
2810,Mariage,1356,5438,373,1758-11-14,37/162
2811,Mariage,1356,5533,68,1711-05-26,25/225
2812,Mariage,1317,5545,56,1829-09-19,204/249
2813,Mariage,1319,5849,7,1783-05-13,16/081
2814,Mariage,1356,5856,299,1885-11-16,n/a
2815,Mariage,1322,5860,132,1821-09-01,n/a
2816,Mariage,1322,5929,132,1817-01-25,n/a
2817,Mariage,1321,5969,302,1785-11-15,262/290
2818,Mariage,1335,6000,244,1847-06-12,9/365
2819,Mariage,1356,6019,158,1887-06-14,n/a
2820,Mariage,1356,6059,228,1694-06-30,10/286
2821,Mariage,1356,6074,132,1731-01-26,n/a
2822,Mariage,1352,6201,174,1788-01-22,25/030
2823,Mariage,1356,6237,351,1753-02-13,23/251
2824,Contrat de mariage,1356,6237,80,1753-01-15,129 et 130/294
2825,Mariage,1323,6330,184,1767-02-11,40/180
2826,Mariage,1356,6558,275,,12/018
2827,Mariage,1328,6574,346,1691-11-26,109/113
2828,Mariage,1344,6674,39,1878-05-19,132/159
2829,Mariage,2577,7181,262,1867-05-21,43/118
2830,Mariage,2574,3694,52,1895-11-11,132/173
2831,Mariage,2575,7851,143,1907-01-21,n/a
2832,Mariage,2576,6238,101,1892-05-30,37/074
2833,Mariage,2579,3666,262,1757-02-08,292/374
2834,Mariage,2581,3826,262,1780-01-25,86/352
2835,Contrat de mariage,2580,4653,262,1729-08-09,n/a
2836,Contrat de mariage,2581,4654,262,1729-08-09,206 à 208/507
2837,Mariage,2578,4680,262,1816-11-22,352/366
2838,Mariage,2591,4568,108,1833-02-04,264/476
2839,Mariage,2585,4744,37,1747-09-13,287/294
2840,Mariage,2586,4760,141,1785-01-25,110/168
2841,Mariage,2587,5807,262,1781-02-20,127/352
2842,Mariage,2590,6997,262,1789-02-17,8/023
2843,Mariage,2588,7689,262,1821-09-22,260/325
2844,Mariage,2589,7749,262,1836-04-17,53/367
2845,Mariage,2582,3828,262,1810-02-02,9/125
2846,Mariage,2565,6610,143,1901-07-01,29/121
2847,Mariage,2583,4816,229,1890-07-01,2/040
2848,Mariage,2584,4471,262,1851-07-15,195/390
2849,Mariage,2593,4378,262,1779-04-20,40/352
2850,Mariage,2595,4746,262,1838-07-07,191/367
2851,Mariage,2594,5255,262,1848-02-20,8/390
2852,Mariage,2592,5288,327,1850-10-08,n/a
2853,Mariage,2596,4913,53,1682-02-06,5
2854,Mariage,2597,6998,262,1751-01-19,190/374
2855,Mariage,2598,5932,108,1790-07-27,237/286
2856,Mariage,2599,6808,37,1765-01-29,76/299
2857,Mariage,2600,7189,238,1721-05-27,102/235
2858,Publication de mariage,2601,6651,225,1813-09-26,n/a
2859,Mariage,2602,5742,218,1703-01-17,116/127
2860,Mariage,2606,8286,222,1767-01-01,n/a
2861,Mariage,2603,4774,86,1675-06-10,6/136
2862,Mariage,2604,5225,41,1750-10-21,62/065
2863,Mariage,2605,6888,169,1896-07-04,n/a
2864,Mariage,2607,4856,130,1719-01-09,9/070
2865,Mariage,2608,7657,166,1626-06-29,4/022
2866,Mariage,2609,6426,123,1789-01-12,197/373
2867,Mariage,2610,7991,123,1785-10-04,36/373
2868,Mariage,2611,5679,102,1767-02-24,5/166
2869,Mariage,2612,7389,31,1813-06-10,21/327
2870,Mariage,2613,4636,328,1750-11-11,90/362
2871,Mariage,2614,7291,272,1680-07-22,100/102
2872,Mariage,2615,6907,57,1729-02-22,116/464
2873,Mariage,2616,7900,57,1736-11-28,169/464
2874,Contrat de mariage,2617,3769,40,1721-01-19,13 et 14/626
2875,Mariage,2618,5218,321,1698-04-23,87/094
2876,Mariage,2618,5875,321,1676-01-27,35/042
2877,Contrat de mariage,2620,6260,40,1752-11-06,211 et 212/491
2878,Mariage,2619,6837,57,1744-02-02,230/464
2879,Mariage,2621,5511,300,1704-06-12,n/a
2880,Contrat de mariage,2623,1420,80,1746-11-09,256 et 257/351
2881,Mariage,2622,4546,57,1729-02-22,116/464
2882,Mariage,2623,6067,321,1660-07-04,18/042
2883,Contrat de mariage,2623,8246,51,1771-10-05,376 et 377/403
2884,Mariage,2625,4351,300,1744-05-19,n/a
2885,Contrat de mariage,2625,4351,80,1744-04-01,143 et 144/409
2886,Mariage,2624,5758,321,1688-08-12,34/094
2887,Mariage,2625,6053,321,1665-11-23,24/042
2888,Mariage,2626,4754,179,1701-07-23,21/111
2889,Mariage,2627,5621,47,,207/330
2890,Mariage,2628,6381,298,1893-10-09,2/042
2891,Mariage,2629,4381,278,1899-02-04,78/081
2892,Mariage,2630,7264,300,1841-01-11,267/361
2893,Mariage,2631,3685,47,1832-02-28,322/488
2894,Mariage,2632,6934,89,1711-12-24,133/152
2895,Mariage,2634,3853,126,1740-02-24,n/a
2896,Mariage,2633,5207,189,1665-11-24,4/007
2897,Mariage,2635,4906,20,1901-11-18,n/a
2898,Mariage,2636,8116,278,1861-07-08,54/123
2899,Mariage,2637,4021,194,1849-05-09,91/389
2900,Mariage,2638,5881,344,1913-07-07,n/a
2901,Mariage,2641,6161,300,1884-11-11,n/a
2902,Mariage,2640,6828,57,1759-02-14,301/464
2903,Mariage,2639,7776,374,,20/039
2904,Mariage,2642,8108,162,1886-01-18,44/090
2905,Mariage,2643,5747,265,1852-11-16,n/a
2906,Mariage,2644,7884,189,1854-06-12,510/540
2907,Mariage,2654,3670,20,1892-01-26,n/a
2908,Mariage,2654,3821,299,,29/286
2909,Mariage,2652,4868,273,1781-02-14,13/031
2910,Mariage,2653,7436,265,1768-01-27,1/023
2911,Contrat de mariage,2654,7437,189,1768-01-26,281 et 282/414
2912,Mariage,2645,6676,194,1893-01-16,n/a
2913,Mariage,2648,6183,195,1840-10-20,356/579
2914,Publication de mariage,2646,7162,194,1849-05-27,n/a
2915,Mariage,2647,7750,298,1847-06-23,146/296
2916,Mariage,2649,4140,57,1879-05-28,41/061
2917,Mariage,2650,4548,89,1879-06-17,72/096
2918,Mariage,2649,8073,57,1887-06-27,18/079
2919,Mariage,2651,6439,189,1858-04-19,3/059
2920,Mariage,2655,5611,75,1758-08-01,129/161
2921,Mariage,2661,4621,265,1839-11-28,8/225
2922,Mariage,2660,4860,273,1763-11-23,7/008
2923,Mariage,2659,6021,300,1879-05-27,63/082
2924,Publication de mariage,2662,6131,336,1821-06-10,130/230
2925,Mariage,2663,6227,302,1897-11-22,23/096
2926,Mariage,2657,4312,182,1862-01-20,129/223
2927,Publication de mariage,2657,4312,182,1862-01-05,120/223
2928,Mariage,2656,8092,351,1885-11-17,14/165
2929,Mariage,2658,6904,89,1879-01-14,69/096
2930,Mariage,2665,8094,321,1778-06-30,47/049
2931,Mariage,2666,4125,300,1890-01-30,n/a
2932,Mariage,2668,4028,300,1813-11-08,267/339
2933,Mariage,2669,4723,252,1827-07-03,49/278
2934,Mariage,2670,6863,57,1692-11-24,72/184
2935,Mariage,2669,7112,265,1851-11-11,n/a
2936,Mariage,2669,8144,252,1833-07-17,202/278
2937,Mariage,2667,7044,89,1897-11-23,86/103
2938,Mariage,2672,3813,299,1744-09-14,8/266
2939,Mariage,2672,5723,252,1823-11-18,269/302
2940,Mariage,2671,7924,355,,56/077
2941,Mariage,2673,6894,162,1888-07-02,12/122
2942,Publication de mariage,2674,4022,278,1849-04-22,148/262
2943,Mariage,2675,4377,195,1849-10-16,53/485
2944,Mariage,2676,6198,252,1836-11-13,44/334
2945,Mariage,2676,7936,195,1838-06-26,170/579
2946,Mariage,2679,7163,195,1849-06-11,30/485
2947,Mariage,2678,7536,144,1863-11-18,43/130
2948,Mariage,2677,4221,162,1862-10-14,209/261
2949,Mariage,2680,6259,356,1752-11-28,117/149
2950,Mariage,2681,6972,292,1881-10-04,52/144
2951,Mariage,2682,6867,2,1812-04-28,128/274
2952,Mariage,2683,8028,45,,19/045
2953,Mariage,2684,8055,160,1870-05-04,4/120
2954,Mariage,2685,3988,168,1690-06-26,64/079
2955,Mariage,2687,4321,326,1679-05-30,11/098
2956,Mariage,2686,6865,192,1737-02-06,1 et 2/018
2957,Mariage,2688,6639,160,1872-01-24,17/120
2958,Mariage,2689,7571,162,1752-08-22,157/184
2959,Mariage,2690,7293,160,1899-10-09,154/159
2960,Mariage,2691,6112,45,1858-01-20,34/172
2961,Mariage,2694,4450,45,1832-01-11,335/492
2962,Mariage,2694,6269,45,1826-01-25,16/492
2963,Mariage,2692,4612,45,,73/094
2964,Mariage,2693,6104,45,1856-07-22,19/172
2965,Mariage,2695,7233,29,,40/044
2966,Mariage,2696,6035,160,1834-11-26,417/475
2967,Mariage,2697,5766,120,1857-11-24,35/161
2968,Mariage,2698,5523,326,1671-06-24,4/005
2969,Mariage,2699,7543,332,1822-08-07,336/377
2970,Mariage,2700,6484,147,1875-08-18,8/074
2971,Mariage,2701,8323,261,1790-11-16,131/159
2972,Mariage,2702,6313,179,1660-01-26,5/023
2973,Mariage,2703,5535,35,1810-09-25,n/a
2974,Mariage,2704,8119,266,1824-09-27,172/611
2975,Mariage,2708,4410,129,,225/453
2976,Mariage,2710,5588,26,1663-05-28,22/036
2977,Mariage,2707,5610,343,1707-11-17,13/016
2978,Mariage,2709,6032,83,1767-01-27,n/a
2979,Mariage,2710,6366,83,1725-02-06,n/a
2980,Mariage,2711,6850,64,1616-11-21,33/126
2981,Mariage,2705,4322,83,,n/a
2982,Mariage,2706,5063,35,1810-09-25,n/a
2983,Mariage,2712,4211,343,1683-11-10,33/093
2984,Mariage,2713,4910,343,1688-02-26,66/093
2985,Mariage,2714,3555,26,1702-08-08,9/199
2986,Mariage,2715,4965,266,1749-09-30,183/302
2987,Mariage,2716,6687,323,1797-10-03,6/051
2988,Mariage,2716,6692,83,,n/a
2989,Mariage,2717,8095,64,1676-06-03,36/091
2990,Mariage,2719,4271,266,1874-11-09,61/151
2991,Mariage,2719,5160,323,1673-08-24,n/a
2992,Mariage,2719,8168,266,1848-10-24,108/506
2993,Mariage,2718,6953,343,1913-09-21,5/011
2994,Mariage,2721,5946,83,1700-09-22,116/228
2995,Mariage,2722,6556,83,1704-01-29,n/a
2996,Mariage,2724,4498,279,1746-01-18,212/454
2997,Mariage,2723,6697,266,1806-07-15,144/476
2998,Mariage,2725,7573,180,1780-11-21,222/303
2999,Mariage,2727,6444,252,1841-06-08,195/334
3000,Mariage,2726,4576,299,1868-01-21,178/232
3001,Publication de mariage,2728,6443,216,1841-04-11,381/477
3002,Mariage,2729,3778,218,1690-11-08,89/105
3003,Mariage,2729,7714,218,1701-06-08,96/127
3004,Mariage,2730,5014,184,1904-10-05,n/a
3005,Publication de mariage,2731,7426,375,1872-06-08,19/086
3006,Mariage,2732,3720,111,1773-05-26,30/050
3007,Mariage,2732,5444,372,1749-11-26,128/148
3008,Mariage,2732,7759,223,1716-11-18,38/109
3009,Contrat de mariage,2736,4068,51,,454 et 455/633
3010,Mariage,2735,4067,299,,37/53
3011,Mariage,2736,4207,375,1831-10-04,207/410
3012,Mariage,2735,4442,299,1778-01-14,68/113
3013,Contrat de mariage,2736,4488,80,,25 et 26/635
3014,Mariage,2735,4489,299,,26/286
3015,Mariage,2735,5297,223,1685-02-20,18/092
3016,Mariage,2735,5440,51,1813-11-17,n/a
3017,Mariage,2735,6090,77,1708-11-07,160/172
3018,Mariage,2735,6838,304,1687-01-06,53/120
3019,Mariage,2733,7869,375,1888-08-29,n/a
3020,Publication de mariage,2734,4405,375,1858-01-24,72/188
3021,Mariage,2734,6189,375,1869-01-20,153/168
3022,Mariage,2738,6153,375,1862-06-04,176/188
3023,Mariage,2737,4371,57,1902-10-28,12/018
3024,Mariage,2739,4629,171,1871-10-24,117/131
3025,Mariage,2743,6648,372,1770-02-21,95/161
3026,Publication de mariage,2742,7975,216,1836-01-10,212/477
3027,Mariage,2743,7992,252,1836-01-20,22/334
3028,Publication de mariage,2741,4794,375,1866-09-16,78/168
3029,Mariage,2740,4793,184,1866-09-26,n/a
3030,Mariage,2744,7149,304,1649-02-03,5/008
3031,Mariage,2745,5201,162,1873-12-17,178/210
3032,Mariage,2746,6898,123,1771-02-19,159/332
3033,Mariage,2747,7522,367,,38/373
3034,Mariage,2748,6496,2,1825-10-18,154/359
3035,Mariage,2749,3825,261,1890-05-06,74/155
3036,Mariage,2751,5688,270,1760-06-02,n/a
3037,Mariage,2750,3983,162,1900-09-26,20/050
3038,Mariage,2752,4068,68,1758-01-27,18/179
3039,Mariage,2752,4789,2,1829-02-03,253/359
3040,Mariage,2752,5234,2,1808-06-07,50/274
3041,Mariage,2753,8236,303,,77/169
3042,Mariage,2754,8164,306,,24/036
3043,Contrat de mariage,2755,6509,179,1778-05-22,38 et 39/348
3044,Mariage,2756,7569,162,1902-10-22,35/066
3045,Mariage,2757,4704,368,1726-02-12,n/a
3046,Mariage,2759,3842,214,1680-08-19,n/a
3047,Mariage,2758,4799,10,1758-01-12,n/a
3048,Mariage,2759,5289,188,1820-02-07,251/497
3049,Mariage,2760,4800,368,1729-07-04,n/a
3050,Mariage,2761,6933,368,1755-06-18,n/a
3051,Mariage,2762,4809,368,1728-06-21,n/a
3052,Mariage,2763,7720,212,,44/327
3053,Contrat de mariage,2765,7721,115,,54 et 55/276
3054,Mariage,2764,8070,10,1755-06-16,n/a
3055,Mariage,2766,3345,368,1768-11-14,n/a
3056,Mariage,2767,5914,143,1884-02-05,4/201
3057,Contrat de mariage,2768,5332,179,1752-01-17,71 et 72/622
3058,Mariage,2769,7845,194,1694-01-19,9/200
3059,Mariage,2770,5681,194,1664-10-22,23/042
3060,Mariage,2770,7313,194,1703-02-13,59/200
3061,Mariage,2771,5369,194,1694-01-19,9/200
3062,Mariage,2772,1526,238,1638-09-05,89/211
3063,Mariage,2773,5906,162,1701-07-04,220/283
3064,Mariage,2774,8238,238,1689-08-17,33/062
3065,Mariage,2775,8154,190,1811-09-25,181/326
3066,Mariage,2776,7708,162,1886-02-08,45/090
3067,Mariage,2777,6018,168,1891-09-07,78/155
3068,Mariage,2778,5020,44,1733-02-16,n/a
3069,Mariage,2779,5119,227,1742-04-23,70/212
3070,Mariage,2781,5662,370,1766-05-26,n/a
3071,Mariage,2780,4285,156,1899-09-26,n/a
3072,Mariage,2783,1287,370,1739-09-30,n/a
3073,Mariage,2782,6162,123,1717-08-21,36/143
3074,Contrat de mariage,2783,6167,15,1717-07-18,n/a
3075,Mariage,2784,4981,344,,80/199
3076,Mariage,2785,4001,46,1780-01-11,54/085
3077,Mariage,2786,7986,11,,89/107
3078,Mariage,2787,4206,178,1781-10-02,107/145
3079,Mariage,2788,6848,170,1872-05-15,n/a
3080,Mariage,2791,7539,170,1872-02-07,n/a
3081,Mariage,2789,5238,122,1903-06-30,n/a
3082,Mariage,2790,5318,170,1863-11-23,n/a
3083,Mariage,2792,6474,64,1852-09-21,n/a
3084,Mariage,2793,3943,108,1890-04-14,44/146
3085,Mariage,2793,5264,108,1896-07-07,108/146
3086,Mariage,2794,6196,108,1857-08-25,24/130
3087,Mariage,2797,3933,108,1808-06-16,30/189
3088,Mariage,2796,7238,108,1813-11-22,289/421
3089,Mariage,2795,7973,108,1859-07-04,41/130
3090,Mariage,2799,4434,108,1788-06-10,205/286
